timestamp,ping,speed_down,speed_up
2016-04-07 03:00:00,77.438,5.79,0.61
2016-04-07 04:00:00,80.313,6.31,0.61
2016-04-07 05:00:00,77.534,6.53,0.61
2016-04-07 06:00:00,77.965,6.44,0.6
2016-04-07 07:00:00,84.413,6.37,0.59
2016-04-07 08:00:00,77.036,6.4,0.6
2016-04-07 09:00:00,82.141,6.34,0.58
2016-04-07 10:00:00,77.72,6.34,0.6
2016-04-07 11:00:00,76.921,6.47,0.6
2016-04-07 00:00:00,185.51,5.61,0.59
2016-04-07 13:00:00,77.135,6.47,0.52
2016-04-07 14:00:00,77,6.33,0.6
2016-04-07 15:00:00,97.98,5.01,0.53
2016-04-07 16:00:00,258.662,2.46,0.51
2016-04-07 17:00:00,77.58,6.11,0.59
2016-04-07 18:00:00,77.101,5.47,0.54
2016-04-07 19:00:00,125.108,4.63,0.58
2016-04-07 20:00:00,208.917,4.25,0.58
2016-04-07 21:00:00,80.929,5.1,0.57
2016-04-07 22:00:00,90.823,5.4,0.59
2016-04-07 23:00:00,121.925,5.08,0.56
2016-04-08 00:00:00,124.016,6.01,0.53
2016-04-08 01:00:00,124.518,5.23,0.59
2016-04-08 02:00:00,79.685,5.57,0.59
2016-04-08 03:00:00,77.497,6.54,0.61
2016-04-08 04:00:00,77.615,6.43,0.59
2016-04-08 05:00:00,77.455,5.62,0.57
2016-04-08 06:00:00,77.702,6.38,0.61
2016-04-08 07:00:00,77.466,5.66,0.6
2016-04-08 08:00:00,77.445,6.45,0.61
2016-04-08 09:00:00,77.026,6.17,0.6
2016-04-08 10:00:00,,,
2016-04-08 11:00:00,204.043,5.92,0.58
2016-04-08 00:00:00,98.41,5.63,0.6
2016-04-08 13:00:00,77.454,5.64,0.59
2016-04-08 14:00:00,77.853,6.15,0.59
2016-04-08 15:00:00,77.791,6.51,0.61
2016-04-08 16:00:00,120.524,5.11,0.55
2016-04-08 17:00:00,177.609,4.03,0.54
2016-04-08 18:00:00,88.384,5.34,0.55
2016-04-08 19:00:00,531.422,1.75,0.43
2016-04-08 20:00:00,91.455,2.7,0.6
2016-04-08 21:00:00,110.824,2.44,0.48
2016-04-08 22:00:00,173.664,3.19,0.55
2016-04-08 23:00:00,181.986,2.74,0.5
2016-04-09 00:00:00,80.249,5.16,0.58
2016-04-09 01:00:00,77.477,6.18,0.59
2016-04-09 02:00:00,78.912,6.5,0.61
2016-04-09 03:00:00,397.86,1.03,0.38
2016-04-09 04:00:00,76.935,5.33,0.59
2016-04-09 05:00:00,77.5,6.55,0.61
2016-04-09 06:00:00,85.542,6.55,0.6
2016-04-09 07:00:00,77.6,6.38,0.59
2016-04-09 08:00:00,,,
2016-04-09 09:00:00,79.028,5.81,0.59
2016-04-09 10:00:00,76.994,6.44,0.58
2016-04-09 11:00:00,98.225,5.63,0.56
2016-04-09 00:00:00,101.075,5.77,0.58
2016-04-09 13:00:00,459.195,1.46,0.39
2016-04-09 14:00:00,170.839,6.05,0.59
2016-04-09 15:00:00,78.427,4.15,0.6
2016-04-09 16:00:00,77.678,5.07,0.58
2016-04-09 17:00:00,210.44,2.58,0.57
2016-04-09 18:00:00,93.251,5.87,0.59
2016-04-09 19:00:00,948.776,4.53,0.6
2016-04-09 20:00:00,259.46,3.95,0.55
2016-04-09 21:00:00,267.787,3.64,0.54
2016-04-09 22:00:00,332.316,2.66,0.57
2016-04-09 23:00:00,77.963,5.73,0.57
2016-04-10 00:00:00,129.201,6.29,0.61
2016-04-10 01:00:00,111.649,6.57,0.61
2016-04-10 02:00:00,78.128,6.22,0.6
2016-04-10 03:00:00,102.73,6.21,0.59
2016-04-10 04:00:00,122.618,5.14,0.6
2016-04-10 05:00:00,97.76,5.77,0.57
2016-04-10 06:00:00,76.969,5.39,0.59
2016-04-10 07:00:00,96.452,6.26,0.6
2016-04-10 08:00:00,77.69,6.47,0.61
2016-04-10 09:00:00,82.431,4.88,0.58
2016-04-10 10:00:00,97.456,5.48,0.56
2016-04-10 11:00:00,97.542,5.32,0.59
2016-04-10 00:00:00,202.859,5.79,0.6
2016-04-10 13:00:00,78.925,5.28,0.59
2016-04-10 14:00:00,129.736,3.12,0.47
2016-04-10 15:00:00,143.52,3.09,0.5
2016-04-10 16:00:00,78.984,5.62,0.58
2016-04-10 17:00:00,144.951,5.91,0.58
2016-04-10 18:00:00,139.586,4.23,0.58
2016-04-10 19:00:00,151.083,2.15,0.58
2016-04-10 20:00:00,929.073,4.03,0.59
2016-04-10 21:00:00,93.602,3.85,0.58
2016-04-10 22:00:00,148.603,3.37,0.59
2016-04-10 23:00:00,225.56,2.52,0.53
2016-04-11 00:00:00,102.435,5.72,0.6
2016-04-11 01:00:00,97.591,6.55,0.61
2016-04-11 02:00:00,78.01,6.24,0.61
2016-04-11 03:00:00,77.636,6.42,0.61
2016-04-11 04:00:00,102.401,5.82,0.61
2016-04-11 05:00:00,101.073,6.65,0.6
2016-04-11 06:00:00,103.716,6.16,0.59
2016-04-11 07:00:00,79.481,4.95,0.58
2016-04-11 08:00:00,77.401,2.91,0.6
2016-04-11 09:00:00,102.002,6.49,0.61
2016-04-11 10:00:00,196.181,1.29,0.53
2016-04-11 11:00:00,77.414,6.35,0.6
2016-04-11 00:00:00,167.264,2.98,0.45
2016-04-11 13:00:00,106.443,3.8,0.46
2016-04-11 14:00:00,207.337,3.99,0.59
2016-04-11 15:00:00,156.154,4.54,0.57
2016-04-11 16:00:00,93.763,3.71,0.59
2016-04-11 17:00:00,339.725,1.12,0.47
2016-04-11 18:00:00,306.515,3.15,0.49
